First name;Gender;Age;Salary;loaned_sum;Period;Interest rate;DAE;Monthly payment;Total_amount;Score;Eligibility
Jason;Male;19;11415;49768;5;9,75;11,76;837,8123632;54542,36635;90;yes
Enrique;Male;51;3035;99756;1;8,99;14;8381,815127;108551,7125;43;no
Bob;Male;23;6681;90335;4;8,99;11;1892,497368;98636,60132;79;yes
Devlin;Male;49;4638;122678;3;8,99;11;3423,210864;133682,2974;47;no
Barthel;Male;45;2824;61136;5;8,99;11;1027,457751;66942,43808;50;no
Leeland;Male;60;5784;57770;5;8,99;11;971,2738203;63277,21728;50;no
Garland;Female;55;2552;28038;1;9,75;14,76;2362,33106;30775,06942;33;no
Guntar;Male;50;7979;30175;5;9,75;11,76;510,7325804;33216,13942;70;yes
Juline;Female;25;5245;108361;1;8,99;14;9104,230662;117883,3675;43;no
Kassi;Female;47;4939;70599;5;8,99;11;1185,410376;77246,65211;50;no
Arluene;Female;31;5798;84593;2;8,99;12;3544,862032;92202,35938;45;no
Laurianne;Female;30;1969;84172;1;8,99;14;7073,491628;91651,71098;43;no
Maximilianus;Male;39;10426;43468;4;9,75;11,76;914,4190706;47640,47609;89;yes
Mehetabel;Female;41;6169;110304;5;8,99;11;1848,150415;120481,2308;80;yes
Morry;Male;24;5087;120610;1;8,99;14;10132,57092;131166,7427;43;no
Nevin;Male;49;2804;111719;5;8,99;11;1871,769031;122022,0173;50;no
Abbye;Female;28;7951;96565;3;8,99;11;2696,042877;105306,0739;77;yes
Eduardo;Male;55;8388;106923;3;8,99;11;2984,481816;116561,8056;87;yes
Melvin;Male;23;4221;53634;5;8,99;11;902,2373564;58773,54728;50;no
Nina;Female;44;2509;104448;3;8,99;11;2915,560559;113872,2964;47;no
Vincenty;Male;43;2531;17013;2;10,49;13,5;718,9598909;18835,06077;25;no
Nev;Male;38;8793;32491;5;9,75;11,76;549,3952036;35737,01635;80;yes
Debi;Female;51;2532;94387;5;8,99;11;1582,470193;103149,288;50;no
Kalle;Male;19;10718;103572;2;8,99;12;4338,604818;112805,1652;95;yes
Gonzales;Male;25;3046;67457;2;8,99;12;2828,197488;73600,23702;45;no
Onfre;Male;47;6268;117528;3;8,99;11;3279,798957;128085,9449;77;yes
Syd;Male;34;3809;101762;1;8,99;14;8550,224838;110727,1105;43;no
Patrizio;Male;58;4893;39258;1;9,75;14,76;3304,866708;42941,57712;33;no
Anet;Female;57;9976;106907;2;8,99;12;4478,081723;116425,5012;85;yes
Trude;Female;56;5698;60882;5;8,99;11;1023,218084;66665,85873;50;no
Alaster;Male;36;4259;20706;1;9,75;14,76;1746,406696;22824,54942;33;no
Heda;Female;26;3058;78470;5;8,99;11;1316,789972;85817,3452;50;no
Jae;Male;59;9496;11553;2;10,49;13,5;490,4698536;12909,65086;65;yes
Jodie;Male;54;8731;90949;1;8,99;14;7642,441086;99000,99935;83;yes
Dominique;Male;41;1486;42817;1;9,75;14,76;3603,84036;46800,81071;33;no
Bron;Male;33;9036;111364;3;8,99;11;3108,15022;121387,7088;87;yes
Dorolisa;Female;46;4218;49155;1;9,75;14,76;4136,263794;53673,47788;33;no
Vinnie;Male;30;10130;27518;1;9,75;14,76;2318,648481;30211,20276;83;yes
Pietrek;Male;51;11350;117238;5;8,99;11;1963,88998;128031,6292;100;yes
Benni;Female;43;6022;26959;3;9,75;11,76;757,8837985;29660,3466;67;yes
Kaitlin;Female;20;9747;55487;1;8,99;14;4665,299921;60544,38663;83;yes
Audry;Female;26;7608;106893;3;8,99;11;2983,646407;116529,2055;77;yes
Burch;Male;44;3667;50450;1;8,99;14;4242,428677;55082,03374;43;no
Goldi;Female;30;9358;99260;5;8,99;11;1663,808368;108455,4737;90;yes
Nessie;Female;21;6369;15365;3;10,49;12,5;435,0456062;17061,23268;57;yes
Crista;Female;56;2082;8064;1;10,49;15,5;684,823493;9115,561488;23;no
Bruce;Male;29;5119;41681;5;9,75;11,76;702,8103623;45739,97788;40;no
Obediah;Male;22;6831;83335;3;8,99;11;2327,627434;90929,42482;77;yes
Thorsten;Male;54;7216;107871;4;8,99;11;2258,513661;117711,9591;79;yes
Beaufort;Male;30;10880;10075;3;10,49;12,5;287,674226;11315,27066;77;yes
Cherilyn;Female;58;7091;103038;1;8,99;14;8657,348861;112110,8632;73;yes
Roshelle;Female;26;4195;15934;4;10,49;12,5;339,6822186;17694,46632;29;no
Germana;Female;45;4960;85116;4;8,99;11;1783,564941;92959,46329;49;no
Levey;Male;40;5549;119903;3;8,99;11;3345,935516;130666,7871;47;no
Tiffanie;Female;18;2146;90510;4;8,99;11;1896,150016;98826,96329;49;no
Meade;Female;23;6836;89590;3;8,99;11;2501,810245;97726,54802;77;yes
Dulcinea;Female;20;6171;69481;3;8,99;11;1941,83548;75874,69346;77;yes
Morse;Male;21;10333;105688;4;8,99;11;2212,949474;115337,3294;99;yes
Dmitri;Male;34;11001;94894;2;8,99;12;3975,672108;103384,6926;95;yes
Katharine;Female;43;4085;46154;4;9,75;11,76;970,4908389;50561,32891;39;no
Grissel;Female;34;8775;33609;4;9,75;11,76;708,6068728;36919,44558;79;yes
Ad;Male;21;2900;65931;4;8,99;11;1383,130259;72090,35178;49;no
Ferdinande;Female;35;9026;118319;3;8,99;11;3301,825912;128945,5012;87;yes
Madelaine;Female;43;1326;47014;1;9,75;14,76;3956,409175;51351,86532;33;no
Axel;Male;28;5536;68705;4;8,99;11;1441,029962;75107,86105;49;no
Fairfax;Male;41;6184;69416;2;8,99;12;2910,1271;75726,8452;75;yes
Aymer;Male;45;10838;66479;3;8,99;11;1858,238869;72612,50899;97;yes
Bertrand;Male;42;8496;119151;4;8,99;11;2493,952973;129982,1482;89;yes
Lannie;Male;44;2726;120217;2;8,99;12;5034,734681;130874,2786;45;no
Burty;Male;19;6347;95174;5;8,99;11;1595,606484;104006,2484;80;yes
Cynthy;Female;57;2409;17493;3;10,49;12,5;494,32846;19372,65181;27;no
Joseito;Male;18;9863;84430;4;8,99;11;1769,246557;92213,24435;89;yes
Hally;Female;49;8576;58637;1;8,99;14;4929,75186;63960,39053;83;yes
Antonie;Female;26;1675;85275;2;8,99;12;3573,384745;92942,70996;45;no
Justina;Female;57;7380;31241;4;9,75;11,76;659,1735342;34344,39737;69;yes
Humberto;Male;57;8276;90670;1;8,99;14;7619,0182;98698,43901;83;yes
Phaedra;Female;38;8985;39319;3;9,75;11,76;1102,144481;43088,37737;77;yes
Johny;Male;21;5105;80436;3;8,99;11;2246,899061;87779,16741;47;no
Lou;Male;52;6665;17867;5;10,49;12,5;305,3030492;19812,95289;60;yes
Alan;Male;30;9366;82124;1;8,99;14;6901,555891;89430,76622;83;yes
Allissa;Female;51;9370;106191;4;8,99;11;2223,448231;115884,4841;89;yes
Karie;Female;37;6300;124887;4;8,99;11;2613,676368;136221,6699;79;yes
Marie;Female;18;10941;119403;4;8,99;11;2499,212788;130256,2695;99;yes
Terra;Female;41;10120;88443;1;8,99;14;7432,054876;96283,37848;93;yes
Ammamaria;Female;54;11274;61774;2;8,99;12;2590,522149;67431,01075;95;yes
Maud;Female;24;8099;63559;4;8,99;11;1333,621212;69510,13117;89;yes
Domeniga;Female;20;7024;35043;3;9,75;11,76;983,0458827;38442,88712;67;yes
Nicky;Male;40;7571;60775;3;8,99;11;1699,39974;66414,14118;77;yes
Sarajane;Female;29;7544;33093;2;9,75;12,76;1391,454015;36290,44558;65;yes
Fara;Female;57;11187;28558;4;9,75;11,76;603,1643926;31426,80686;89;yes
Elberta;Female;32;5048;11575;4;10,49;12,5;248,6716882;12955,59477;29;no
Aurora;Female;46;3859;26877;3;9,75;11,76;755,5998684;29571,26096;37;no
Mathian;Male;56;10054;100467;2;8,99;12;4208,747009;109434,5075;95;yes
Aura;Female;48;10239;42317;3;9,75;11,76;1185,647194;46345,43532;87;yes
Thurston;Male;18;9449;98910;4;8,99;11;2071,477164;107964,3382;89;yes
Alain;Male;44;9355;32235;2;9,75;12,76;1355,559368;35359,18558;75;yes
Ingram;Male;37;9439;66144;2;8,99;12;2773,284991;72174,89933;85;yes
Sherilyn;Female;45;11970;54941;5;8,99;11;924,0532796;60196,73313;100;yes
Marybelle;Female;32;11361;44846;1;9,75;14,76;3774,286423;49000,97506;83;yes
Jany;Female;52;11376;37726;5;9,75;11,76;636,7867549;41435,1125;90;yes
Griffith;Male;39;11526;27401;3;9,75;11,76;770,1947388;30140,53994;87;yes
Lira;Female;34;7686;94749;2;8,99;12;3969,607895;103227,2867;75;yes
Shandy;Female;58;10645;4491;2;10,49;13,5;194,9393329;5245,686607;75;yes
Johannah;Female;47;1305;58961;1;8,99;14;4956,952631;64311,75093;43;no
Austen;Male;60;3096;113520;1;8,99;14;9537,344172;123478,0228;43;no
Jarrett;Male;49;2347;117947;2;8,99;12;4939,798376;128410,0618;45;no
Franklyn;Male;48;9675;71926;2;8,99;12;3015,100723;78451,59585;85;yes
Jo-anne;Female;19;1694;38275;4;9,75;11,76;806,0122603;41993,42147;39;no
Randie;Male;38;9197;119838;5;8,99;11;2007,288144;130862,7564;90;yes
Kayne;Male;26;11981;81040;2;8,99;12;3396,267895;88345,37171;95;yes
Lida;Female;30;7653;98102;5;8,99;11;1644,479493;107194,5332;80;yes
Erin;Male;19;1164;80629;5;8,99;11;1352,82714;88168,26965;50;no
Saleem;Male;51;8151;49611;2;9,75;12,76;2082,488718;54218,82865;75;yes
Scotti;Male;58;3710;29165;5;9,75;11,76;493,8719373;32116,79327;40;no
Simone;Female;49;11235;61455;5;8,99;11;1032,782372;67289,79561;100;yes
Ricca;Female;39;1144;50022;2;8,99;12;2099,028118;54673,53282;45;no
Amelita;Female;42;6425;96605;1;8,99;14;8117,279234;105134,6241;73;yes
Pepe;Male;23;8606;115293;1;8,99;14;9686,192835;125400,745;83;yes
Spike;Male;29;10759;65884;3;8,99;11;1841,669921;71965,94012;97;yes
Vitoria;Female;49;4821;79601;2;8,99;12;3336,085806;86783,25371;45;no
Evie;Female;39;1151;123474;5;8,99;11;2067,978807;134821,9789;50;no
Tarah;Female;29;5636;100361;4;8,99;11;2101,762842;109542,7109;49;no
Domenic;Male;37;1533;19024;5;10,49;12,5;324,6200374;21071,88434;30;no
Farah;Female;58;11264;97882;2;8,99;12;4100,636724;106628,34;95;yes
Tedi;Female;18;3328;97716;2;8,99;12;4093,694245;106448,1374;45;no
Joletta;Female;26;9244;108866;3;8,99;11;3038,588483;118673,2062;87;yes
Alvy;Male;37;9647;13082;5;10,49;12,5;225,413863;14606,39546;70;yes
Vivian;Female;43;9673;46777;5;9,75;11,76;787,8814884;51286,77788;80;yes
Luise;Female;33;5377;54974;2;8,99;12;2306,131457;60049,21617;45;no
Hilary;Male;38;7665;32587;2;9,75;12,76;1370,285377;35741,24096;65;yes
Ursuline;Female;42;2252;15474;1;10,49;15,5;1307,674694;17150,12536;23;no
Dane;Male;36;7846;70616;2;8,99;12;2960,313693;77029,51483;75;yes
Leodora;Female;35;10236;27139;4;9,75;11,76;573,5419655;29883,73532;89;yes
Alix;Male;33;9445;27566;5;9,75;11,76;467,1787013;30376,34327;80;yes
Sven;Male;45;3955;70238;5;8,99;11;1179,384708;76853,56099;50;no
Craig;Male;31;9928;82567;4;8,99;11;1730,3615;90186,70514;89;yes
Wakefield;Male;38;6784;64394;4;8,99;11;1351,049565;70418,42974;79;yes
Elbert;Male;43;4815;3779;2;10,49;13,5;165,1435624;4472,99579;25;no
Chic;Male;21;3647;22946;2;9,75;12,76;966,9517066;25277,04788;35;no
Patty;Female;18;1824;52057;1;8,99;14;4377,341143;56824,73795;43;no
Hollyanne;Female;21;7597;84460;2;8,99;12;3539,299684;92057,98016;75;yes
Faulkner;Male;50;5223;103342;2;8,99;12;4328,985721;112555,4868;45;no
Arin;Male;43;1579;66466;3;8,99;11;1857,876859;72598,38228;47;no
Mariele;Female;41;9666;44867;1;9,75;14,76;3776,050527;49023,7466;73;yes
Evy;Female;18;1742;50422;3;8,99;11;1411,100036;55163,84279;47;no
Dotti;Female;44;2346;43655;1;9,75;14,76;3674,236516;47709,50353;33;no
Chantalle;Female;27;9734;76987;5;8,99;11;1292,036327;84202,51381;90;yes
Alfi;Female;44;5873;63454;3;8,99;11;1774,001778;69325,33111;47;no
Bronson;Male;35;5962;115736;3;8,99;11;3229,897182;126138,6316;47;no
Hilary;Female;18;9118;80529;2;8,99;12;3374,896771;87790,65156;85;yes
Isabelita;Female;53;4675;44586;2;9,75;12,76;1872,266573;48764,77096;35;no
Emmalynne;Female;30;4822;87774;5;8,99;11;1472,088633;95948,42492;50;no
Iorgos;Male;38;5781;26917;5;9,75;11,76;456,344486;29669,93173;40;no
Layla;Female;40;3832;103369;3;8,99;11;2885,513676;112699,7791;47;no
Dottie;Female;29;10063;9075;5;10,49;12,5;158,5139739;10246,37965;80;yes
Michale;Male;45;4092;65186;4;8,99;11;1367,580411;71279,95365;49;no
Berne;Male;49;8133;110245;2;8,99;12;4617,684095;120049,0939;85;yes
Cindy;Female;56;4714;16798;3;10,49;12,5;474,9668137;18617,74754;27;no
Igor;Male;48;8901;122359;2;8,99;12;5124,317749;133199,5438;85;yes
Gisele;Female;25;5942;97769;3;8,99;11;2729,570632;106614,425;47;no
Mariele;Female;19;4239;15557;1;10,49;15,5;1314,6513;17240,12115;23;no
Cristen;Female;42;11591;115581;1;8,99;14;9710,371298;125713,0654;93;yes
Bearnard;Male;31;8111;90380;4;8,99;11;1893,43662;98685,55154;89;yes
Gerardo;Male;29;9637;13376;2;10,49;13,5;566,7587434;14888,04322;65;yes
Ranique;Female;56;9394;29674;2;9,75;12,76;1248,419286;32579,51558;75;yes
Rebeca;Female;59;6353;67066;1;8,99;14;5637,391669;73101,18317;73;yes
Aloysius;Male;21;2126;93817;3;8,99;11;2619,519397;102319,9037;47;no
Janey;Female;25;4623;40974;2;9,75;12,76;1721,157641;44844,36173;35;no
Nat;Female;53;5231;66038;5;8,99;11;1109,279982;72280,20171;50;no
Regine;Female;26;9027;92131;2;8,99;12;3860,117478;100385,2958;85;yes
Jan;Female;56;1952;97159;2;8,99;12;4070,399302;105843,4816;45;no
Fin;Male;28;11907;67137;4;8,99;11;1408,302228;73402,21774;99;yes
Irina;Female;38;9447;123944;4;8,99;11;2593,993809;135195,8908;89;yes
Stormi;Female;49;4277;40307;4;9,75;11,76;848,4314089;44203,09122;39;no
Valentina;Female;42;9393;88229;5;8,99;11;1479,683311;96443,87217;90;yes
Adelbert;Male;41;3777;92507;1;8,99;14;7773,239854;100690,5657;43;no
Sharleen;Female;60;1276;30166;4;9,75;11,76;636,7323016;33175,40378;39;no
Ringo;Male;42;7739;9988;2;10,49;13,5;424,9777459;11211,2504;55;yes
Orsa;Female;39;3354;69238;5;8,99;11;1162,693107;75764,66593;50;no
Lorine;Female;46;7716;51873;5;8,99;11;872,8434461;56856,00306;80;yes
Drusi;Female;28;2037;64218;2;8,99;12;2692,735509;70084,11457;45;no
Garek;Male;39;4380;47522;5;9,75;11,76;800,3182994;52097,68173;40;no
Maynord;Male;32;9061;51185;1;8,99;14;4304,13413;55879,10132;83;yes
Perrine;Female;32;1827;81932;1;8,99;14;6885,436916;89222,55265;43;no
Lincoln;Male;57;1152;29357;3;9,75;11,76;824,6748274;32265,5584;37;no
Frazier;Male;48;11085;87723;2;8,99;12;3675,765394;95600,15601;95;yes
Melicent;Female;59;10470;23578;1;9,75;14,76;1987,66894;25938,8284;83;yes
Clarence;Male;26;11139;90971;4;8,99;11;1905,772137;99328,43113;99;yes
Blinny;Female;19;11461;3195;3;10,49;12,5;96,00785627;3842,26144;77;yes
Sam;Female;20;6567;20566;3;9,75;11,76;579,8208094;22714,92583;67;yes
Zaccaria;Male;20;10027;110887;2;8,99;12;4644,533923;120746,0222;95;yes
Vernon;Male;45;3524;58879;1;8,99;14;4950,068486;64222,82638;43;no
Noach;Male;26;10839;9134;5;10,49;12,5;159,4990234;10310,57753;80;yes
Caterina;Female;47;7319;42024;1;9,75;14,76;3537,224427;45940,91404;63;yes
Kelci;Female;20;10384;120813;5;8,99;11;2023,562455;131924,4291;100;yes
Elset;Female;31;9561;8387;3;10,49;12,5;240,649105;9481,776534;67;yes
Sherwood;Male;19;2737;80829;4;8,99;11;1694,085479;88296,13877;49;no
Valaria;Female;51;6811;80730;5;8,99;11;1354,512991;88278,24805;80;yes
Fitz;Male;37;1758;16069;1;10,49;15,5;1357,687712;17795,2759;23;no
Cindee;Female;46;7806;123372;5;8,99;11;2066,276264;134710,9116;80;yes
Libbey;Female;19;1043;95997;5;8,99;11;1609,343672;104902,4091;50;no
Erastus;Male;50;5211;71577;2;8,99;12;3000,504789;78072,7361;45;no
Doretta;Female;40;8687;30195;4;9,75;11,76;637,337693;33206,93942;79;yes
Jaclin;Female;50;7580;9830;1;10,49;15,5;833,265493;11030,41166;53;no
Othilie;Female;60;11589;100456;5;8,99;11;1683,771523;109757,7922;100;yes
Claudianus;Male;34;5963;96613;4;8,99;11;2023,533538;105465,7012;49;no
Orelia;Female;24;9585;82420;5;8,99;11;1382,721798;90118,48072;90;yes
Jamill;Male;47;2050;50627;2;8,99;12;2124,330525;55330,29542;45;no
Osbourne;Male;30;10398;73744;2;8,99;12;3091,133411;80425,14034;95;yes
Karl;Male;47;9356;54825;3;8,99;11;1533,710255;59948,45245;87;yes
Moishe;Male;49;3879;78542;3;8,99;11;2194,156896;85721,01372;47;no
Murdock;Male;34;5875;96492;1;8,99;14;8107,792546;105012,0818;43;no
Hunt;Male;25;4918;105609;1;8,99;14;8873,192016;114898,973;43;no
Rogers;Male;49;4533;69507;5;8,99;11;1167,183147;76057,5787;50;no
Batsheva;Female;32;4093;108224;2;8,99;12;4533,161509;117855,1811;45;no
Hinze;Male;25;8899;76672;2;8,99;12;3213,588698;83603,65425;85;yes
Federico;Male;25;3433;5975;3;10,49;12,5;173,4544417;6861,878536;27;no
Lonny;Male;49;2067;103832;4;8,99;11;2174,210524;113318,4047;49;no
Cale;Male;41;10501;45732;5;9,75;11,76;770,4365656;50149,33558;90;yes
Karil;Female;22;4353;31275;1;9,75;14,76;2634,255115;34285,13942;33;no
Addie;Female;18;8976;48612;2;9,75;12,76;2040,6953;53134,52942;75;yes
Brand;Male;52;4362;104762;2;8,99;12;4388,373189;114096,9792;45;no
Netty;Female;53;4763;61140;3;8,99;11;1709,563884;66810,77586;47;no
Kasper;Male;48;2119;9838;4;10,49;12,5;212,4052759;11067,22132;29;no
Josh;Male;25;1614;117448;5;8,99;11;1967,395216;128260,2972;50;no
Otho;Male;28;6059;43052;5;9,75;11,76;725,6974333;47232,25865;70;yes
Archy;Male;29;1510;51727;1;8,99;14;4349,636654;56466,87088;43;no
Syman;Male;53;4658;100137;3;8,99;11;2795,512262;109187,6605;47;no
Nero;Male;19;6100;108652;1;8,99;14;9128,660984;118198,9412;73;yes
Alfons;Male;30;9429;88026;5;8,99;11;1476,294916;96222,82647;90;yes
Carissa;Female;47;2669;55733;4;8,99;11;1170,274753;60997,14359;49;no
Barbey;Female;46;2401;66767;2;8,99;12;2799,340197;72851,20198;45;no
Ladonna;Female;54;5619;31157;4;9,75;11,76;657,4199867;34253,05276;39;no
Abigail;Female;39;3606;3214;5;10,49;12,5;60,66015561;3869,026852;30;no
Hillel;Male;52;11187;124682;2;8,99;12;5221,470628;135721,2951;95;yes
Glory;Female;58;7105;9029;2;10,49;13,5;384,8455214;10170,50532;55;yes
Marya;Female;47;9708;114307;2;8,99;12;4787,565712;124458,6306;85;yes
Bamby;Female;28;11104;47775;4;9,75;11,76;1004,33013;52324,0625;89;yes
Laurens;Male;35;10135;29475;3;9,75;11,76;827,9614585;32393,75481;87;yes
Ediva;Female;32;6625;6940;2;10,49;13,5;297,4250657;7903,439149;55;yes
Suzie;Female;52;10090;9252;1;10,49;15,5;784,6814183;10403,694;73;yes
Fanchon;Female;26;2435;15874;3;10,49;12,5;449,2255745;17614,10502;27;no
Carney;Male;54;3721;71138;1;8,99;14;5979,248271;77517,04598;43;no
Ollie;Male;55;6789;41543;3;9,75;11,76;1164,089122;45504,55378;67;yes
Ellis;Male;28;5467;115484;4;8,99;11;2417,414324;125993,249;49;no
Gar;Male;50;7744;109248;5;8,99;11;1830,524084;119331,3576;80;yes
Lauryn;Female;57;1996;40451;4;9,75;11,76;851,4374903;44359,68199;39;no
Janey;Female;55;7156;66660;4;8,99;11;1398,346151;72883,34538;79;yes
Lewiss;Male;59;2120;74868;1;8,99;14;6292,392948;81562,02837;43;no
Maurizia;Female;23;10525;72740;4;8,99;11;1525,24961;79497,06433;99;yes
Layne;Female;24;10788;48910;1;9,75;14,76;4115,682579;53407,80994;83;yes
Neal;Male;50;2432;62583;4;8,99;11;1313,249867;68448,45523;49;no
Jordanna;Female;28;1347;99118;5;8,99;11;1661,43816;108300,8506;50;no
Ilyse;Female;27;7062;3095;4;10,49;12,5;71,61977323;3736,592549;59;yes
Alexina;Female;35;2688;107400;5;8,99;11;1799,678004;117319,0795;50;no
Clotilda;Female;31;4904;52365;5;8,99;11;881,055714;57391,73943;50;no
Marlene;Female;33;1281;69315;3;8,99;11;1937,212883;75694,30617;47;no
Kristofer;Male;38;1835;87439;3;8,99;11;2441,911408;95389,12004;47;no
Axe;Male;24;2593;108741;1;8,99;14;9136,132801;118295,4569;43;no
Emmy;Male;43;3712;113674;5;8,99;11;1904,401112;124150,8072;50;no
Brianne;Female;49;9729;65905;1;8,99;14;5539,92224;71842,14173;83;yes
Conny;Female;27;1054;85902;2;8,99;12;3599,60724;93623,35484;45;no
Cleon;Male;21;7841;44435;1;9,75;14,76;3739,760384;48555,30353;63;yes
Cynthea;Female;26;10141;44437;2;9,75;12,76;1866,033121;48603,04865;85;yes
Jarrad;Male;41;3850;30823;5;9,75;11,76;521,5501019;33921,4625;40;no
Catha;Female;37;8522;15869;4;10,49;12,5;338,325099;17623,8018;69;yes
Julee;Female;44;8584;120263;4;8,99;11;2517,162948;131191,7626;89;yes
Dale;Male;41;2208;14610;4;10,49;12,5;312,0387357;16255,08437;29;no
Derwin;Male;22;10315;35083;5;9,75;11,76;592,6652897;38558,30865;90;yes
Stace;Female;49;6026;22059;3;9,75;11,76;621,4050488;24336,93635;67;yes
Cleopatra;Female;41;2414;83535;3;8,99;11;2333,196828;91146,7589;47;no
Idette;Female;45;4794;27940;4;9,75;11,76;590,2632933;30754,77147;39;no
Hailey;Male;48;3627;84757;5;8,99;11;1421,730071;92663,2285;50;no
Denis;Male;37;6142;45678;5;9,75;11,76;769,5351055;50090,55865;70;yes
Gerrie;Female;42;1454;47465;1;9,75;14,76;3994,295412;51840,91122;33;no
Eve;Female;21;3716;100556;4;8,99;11;2105,832936;109754,8285;49;no
Phineas;Male;44;8227;118880;3;8,99;11;3317,448063;129555,1233;87;yes
Hurleigh;Male;26;9227;116618;1;8,99;14;9797,430555;126837,6355;83;yes
Ashia;Female;53;1340;20161;5;9,75;11,76;343,5618079;22316,28558;40;no
Wye;Male;56;9464;37192;3;9,75;11,76;1042,901563;40777,58276;77;yes
Glenden;Male;20;5494;124251;5;8,99;11;2080,948181;135668,0503;50;no
Nerita;Female;26;11034;40384;5;9,75;11,76;681,1586256;44328,24327;90;yes
Herculie;Male;28;10532;62289;5;8,99;11;1046,703168;68197,93409;100;yes
Hilario;Male;35;10005;119604;4;8,99;11;2503,408116;130474,9138;99;yes
Lainey;Female;54;6263;17534;4;10,49;12,5;373,0882403;19433,9007;59;yes
Mireielle;Female;25;6780;79896;3;8,99;11;2231,861696;87192,36541;77;yes
Rachele;Female;37;4919;69634;3;8,99;11;1946,096067;76040,95402;47;no
Darice;Female;41;1714;22462;1;9,75;14,76;1893,919405;24728,68378;33;no
Freeland;Male;30;1568;53188;5;8,99;11;894,7929021;58287,90008;50;no
Cleo;Female;37;11139;97505;3;8,99;11;2722,219031;106327,544;97;yes
Corby;Male;54;10074;9236;4;10,49;12,5;199,8362603;10412,75914;79;yes
Hilary;Female;55;3041;22924;3;9,75;11,76;645,4977261;25276,68122;37;no
Abbey;Female;29;6470;96818;5;8,99;11;1623,047477;105796,3919;80;yes
Aubrey;Female;36;6715;20812;1;9,75;14,76;1755,311221;22939,49147;63;yes
Deloria;Female;60;11913;12793;2;10,49;13,5;542,3613639;14255,34835;75;yes
Adi;Female;21;7217;98407;1;8,99;14;8268,562534;107088,7952;73;yes
Jessi;Female;34;10931;36351;2;9,75;12,76;1527,753268;39826,62865;85;yes
Roch;Female;33;9523;106541;2;8,99;12;4462,774813;116028,187;85;yes
Stillman;Male;26;11464;105409;2;8,99;12;4415,432127;114799,3353;95;yes
Hector;Male;19;8309;74286;4;8,99;11;1557,518154;81178,77642;89;yes
Minny;Female;42;7268;55648;1;8,99;14;4678,816354;60718,98239;73;yes
Haley;Male;30;3342;123528;2;8,99;12;5173,207855;134468,5612;45;no
Sutton;Male;34;9868;73906;4;8,99;11;1549,586688;80765,41898;89;yes
Lorena;Female;41;5252;51141;5;8,99;11;860,6251938;56058,93187;50;no
Warden;Male;26;4280;60328;5;8,99;11;1013,970937;66062,61086;50;no
Zed;Male;27;7204;112994;3;8,99;11;3153,540784;123158,9815;77;yes
Kattie;Female;50;11645;15686;3;10,49;12,5;443,9881795;17409,9007;77;yes
Gwyneth;Female;27;3648;99338;2;8,99;12;4161,52979;108208,9125;45;no
Margaux;Female;26;3157;13932;3;10,49;12,5;395,1243986;15504,71783;27;no
Della;Female;32;11750;26611;4;9,75;11,76;562,5196671;29309,56917;89;yes
Loni;Female;36;11309;42656;3;9,75;11,76;1195,089295;46713,7284;87;yes
Elden;Male;24;5481;89902;3;8,99;11;2510,498501;98065,58917;47;no
Verney;Male;22;6334;11782;4;10,49;12,5;252,9935923;13180,6341;59;yes
Torin;Male;48;2501;58744;1;8,99;14;4938,734831;64076,42622;43;no
Jenn;Female;35;2738;48595;2;9,75;12,76;2039,984101;53116,07788;35;no
Sibylla;Female;21;7358;3537;5;10,49;12,5;66,05288437;4220,48308;60;yes
Merola;Female;20;6761;70292;4;8,99;11;1474,15427;76834,17223;79;yes
Rad;Male;21;7605;81826;3;8,99;11;2285,606353;89289,63923;77;yes
Stanley;Male;24;7470;14932;1;10,49;15,5;1262,116617;16562,44201;53;no
Kynthia;Female;27;6434;106925;3;8,99;11;2984,53751;116563,979;77;yes
Nady;Female;23;6303;26909;4;9,75;11,76;568,7405855;29633,62506;69;yes
Jereme;Male;30;9020;50839;1;8,99;14;4275,086393;55503,88311;83;yes
Bogart;Male;47;1654;72786;2;8,99;12;3051,067782;79385,17575;45;no
Farly;Male;54;10815;25673;4;9,75;11,76;542,9383869;28289,55429;89;yes
Devonne;Female;21;11330;11063;4;10,49;12,5;237,9817613;12398,97577;79;yes
Dolph;Male;51;2277;124587;5;8,99;11;2086,55656;136033,9191;50;no
Karylin;Female;43;9748;101569;5;8,99;11;1702,349276;110969,7324;90;yes
Alexandrina;Female;19;9047;124364;3;8,99;11;3470,160859;135514,4236;87;yes
Pippy;Female;21;8796;77300;5;8,99;11;1297,260798;84543,33797;90;yes
Mabelle;Female;40;4319;80324;5;8,99;11;1347,736201;87836,15666;50;no
Asher;Male;54;2053;65095;4;8,99;11;1365,681033;71180,96543;49;no
Sheffie;Male;35;10723;71188;2;8,99;12;2984,235969;77650,45402;95;yes
Novelia;Female;21;6826;117194;5;8,99;11;1963,155549;127983,7178;80;yes
Deirdre;Female;58;1907;71372;2;8,99;12;2991,931246;77850,1967;45;no
Olvan;Male;28;5893;108624;1;8,99;14;9126,3103;118168,5768;43;no
Brenden;Male;60;4177;123995;3;8,99;11;3459,885326;135113,4423;47;no
Tiler;Male;30;1244;29713;2;9,75;12,76;1250,050861;32621,84558;35;no
Sinclair;Male;39;5635;84003;1;8,99;14;7059,303572;91468,43966;43;no
Randell;Male;51;4121;121421;5;8,99;11;2033,710949;132586,4773;50;no
